Name,Team,xG,xA,xG90,xA90
Michael Keane,Everton,2.00+1.00,1.24-0.76,0.06,0.04
Ben Gibson,Burnley,0.91-0.09,0.00,1.22,0.00
Isaac Success,Watford,3.29+2.29,3.01+2.01,0.29,0.27
Fernando Llorente,Tottenham,3.50+2.50,2.01-1.99,0.47,0.27
Jack Stephens,Southampton,1.46+0.46,0.23+0.23,0.08,0.01
Lys Mousset,Bournemouth,1.53+0.53,0.29+0.29,0.45,0.09
Ainsley Maitland-Niles,Arsenal,1.02+0.02,1.06+0.06,0.09,0.10
Trent Alexander-Arnold,Liverpool,1.49+0.49,7.22-4.78,0.05,0.26
Antonio Rüdiger,Chelsea,2.66+1.66,0.90+0.90,0.08,0.03
Danilo,Manchester City,0.42-0.58,0.13+0.13,0.05,0.01
Luciano Vietto,Fulham,2.84+1.84,2.44-1.56,0.26,0.22
Jonny,Wolverhampton Wanderers,1.85+0.85,1.76+0.76,0.06,0.06
Christian Atsu,Newcastle United,2.15+1.15,1.76+1.76,0.13,0.11
André Gomes,Everton,1.39+0.39,0.66-0.34,0.06,0.03
Jon Gorenc Stankovic,Huddersfield,1.46+0.46,0.12+0.12,0.18,0.01
Issa Diop,West Ham,1.26+0.26,0.18+0.18,0.04,0.01
Rachid Ghezzal,Leicester,1.37+0.37,1.73+1.73,0.17,0.21
Jean Michael Seri,Fulham,0.82-0.18,4.04+2.04,0.03,0.16
Floyd Ayité,Fulham,0.35-0.65,0.50+0.50,0.07,0.10
Fabinho,Liverpool,1.14+0.14,1.31-0.69,0.05,0.06
João Moutinho,Wolverhampton Wanderers,0.51-0.49,6.53-1.47,0.01,0.19
Hélder Costa,Wolverhampton Wanderers,2.66+1.66,2.01+0.01,0.18,0.13
Kiko Femenía,Watford,0.50-0.50,1.64+0.64,0.02,0.07
Domingos Quina,Watford,0.20-0.80,0.09+0.09,0.05,0.03
Isaac Mbenza,Huddersfield,0.90-0.10,0.98-0.02,0.08,0.09
Christopher Schindler,Huddersfield,1.04+0.04,0.40+0.40,0.03,0.01
Solly March,Brighton,2.20+1.20,5.21+0.21,0.08,0.19
Davy Pröpper,Brighton,0.95-0.05,1.22+0.22,0.03,0.04
Dale Stephens,Brighton,0.25-0.75,0.59-0.41,0.01,0.02
Phil Foden,Manchester City,2.25+1.25,1.07+1.07,0.64,0.31
Isaac Hayden,Newcastle United,0.86-0.14,2.45-1.55,0.04,0.12
Terence Kongolo,Huddersfield,1.42+0.42,0.84-0.16,0.05,0.03
Victor Lindelöf,Manchester United,0.84-0.16,1.58+0.58,0.03,0.05
Davinson Sánchez,Tottenham,1.62+0.62,0.62-0.38,0.08,0.03
Juan Foyth,Tottenham,0.70-0.30,0.79+0.79,0.07,0.08
Beram Kayal,Brighton,0.29-0.71,1.18+0.18,0.03,0.11
Eddie Nketiah,Arsenal,0.27-0.73,0.13+0.13,0.45,0.22
Michael Obafemi,Southampton,1.89+0.89,0.34-0.66,1.30,0.23
Yerry Mina,Everton,0.75-0.25,0.14+0.14,0.08,0.01
Harvey Barnes,Leicester,3.62+2.62,1.93-0.07,0.32,0.17
Fred,Manchester United,0.90-0.10,0.95-0.05,0.08,0.08
Sean Morrison,Cardiff,5.05+4.05,3.46+0.46,0.15,0.10
Danny Ward,Cardiff,0.61-0.39,0.29+0.29,0.13,0.06
Tom Cairney,Fulham,1.15+0.15,3.00+2.00,0.05,0.12
Ken Sema,Watford,0.87-0.13,0.77-1.23,0.10,0.09
Ryan Fredericks,West Ham,0.53-0.47,0.51+0.51,0.04,0.04
Fabián Balbuena,West Ham,2.52+1.52,0.15+0.15,0.11,0.01
Kenneth Zohore,Cardiff,1.62+0.62,0.91-0.09,0.20,0.11
Bernard,Everton,2.69+1.69,3.24+0.24,0.11,0.14
Sean Longstaff,Newcastle United,0.75-0.25,0.60+0.60,0.10,0.08
Kadeem Harris,Cardiff,0.89-0.11,0.51+0.51,0.23,0.13
Aron Gunnarsson,Cardiff,2.36+1.36,1.74+0.74,0.09,0.07
Juninho Bacuna,Huddersfield,0.80-0.20,1.40+1.40,0.05,0.09
Jannik Vestergaard,Southampton,0.68+0.68,0.53+0.53,0.03,0.02
Bernd Leno,Arsenal,0.00,0.00,0.00,0.00
Andreas Christensen,Chelsea,0.00,0.00,0.00,0.00
Håvard Nordtveit,Fulham,0.00,0.12-0.88,0.00,0.03
Elias Kachunga,Huddersfield,0.98+0.98,0.24+0.24,0.07,0.02
Sead Kolasinac,Arsenal,0.41+0.41,6.74+1.74,0.02,0.32
Artur Boruc,Bournemouth,0.00,0.00,0.00,0.00
Simon Francis,Bournemouth,0.12+0.12,0.60-1.40,0.01,0.04
Andrew Surman,Bournemouth,0.27+0.27,0.48+0.48,0.02,0.03
Mamadou Sakho,Crystal Palace,0.83+0.83,0.19+0.19,0.03,0.01
Adam Lallana,Liverpool,0.30+0.30,0.54+0.54,0.06,0.11
Petr Cech,Arsenal,0.00,0.00,0.00,0.00
Héctor Bellerín,Arsenal,0.96+0.96,2.46-2.54,0.06,0.14
Mohamed Elneny,Arsenal,0.45+0.45,0.22+0.22,0.11,0.05
Wayne Hennessey,Crystal Palace,0.00,0.00,0.00,0.00
Scott Dann,Crystal Palace,0.20+0.20,1.16+0.16,0.03,0.16
Pape Souaré,Crystal Palace,0.00,0.00,0.00,0.00
Jason Puncheon,Crystal Palace,0.61+0.61,0.84+0.84,0.14,0.20
Connor Wickham,Huddersfield,0.34+0.34,0.39-0.61,0.55,0.63
Bakary Sako,Crystal Palace,0.00,0.00,0.00,0.00
Julian Speroni,Crystal Palace,0.00,0.00,0.00,0.00
Adrian Mariappa,Crystal Palace,1.39+1.39,0.70+0.70,0.06,0.03
Martin Kelly,Watford,0.77+0.77,0.02+0.02,0.06,0.00
Cheikhou Kouyaté,Crystal Palace,1.63+1.63,0.89-1.11,0.08,0.04
Aaron Cresswell,West Ham,0.42+0.42,0.94-0.06,0.02,0.05
Andy Carroll,West Ham,1.98+1.98,0.28+0.28,0.41,0.06
Victor Moses,Chelsea,0.00,0.11+0.11,0.00,0.40
Pedro Obiang,West Ham,0.56+0.56,1.14+0.14,0.05,0.09
David de Gea,Manchester United,0.00,0.00,0.00,0.00
Timothy Fosu-Mensah,Fulham,0.08+0.08,0.37+0.37,0.01,0.04
Marcos Rojo,Manchester United,0.24+0.24,0.00,0.10,0.00
Morgan Schneiderlin,Everton,0.10+0.10,0.80-0.20,0.01,0.09
Matteo Darmian,Manchester United,0.03+0.03,0.05+0.05,0.01,0.01
Sebastian Prödl,Watford,0.00,0.00,0.00,0.00
Miguel Britos,Watford,0.00,0.00,0.00,0.00
John Stones,Manchester City,0.16+0.16,0.22+0.22,0.01,0.01
Leighton Baines,Everton,0.08+0.08,0.08+0.08,0.02,0.02
James McCarthy,Everton,0.00,0.00,0.00,0.00
Oumar Niasse,Cardiff,3.39+3.39,0.77+0.77,0.30,0.07
Nathaniel Clyne,Everton,0.26+0.26,0.10-0.90,0.02,0.01
Alberto Moreno,Bournemouth,0.02+0.02,0.14+0.14,0.01,0.08
Joe Hart,Liverpool,0.00,0.02+0.02,0.00,0.00
Pablo Zabaleta,Liverpool,0.16+0.16,1.03+0.03,0.01,0.04
Nicolás Otamendi,Manchester City,1.18+1.18,0.29+0.29,0.09,0.02
Willy Caballero,Chelsea,0.00,0.00,0.00,0.00
Antonio Valencia,Manchester United,0.04+0.04,0.53+0.53,0.01,0.10
Marouane Fellaini,Manchester United,0.73+0.73,0.20-0.80,0.09,0.03
Alex McCarthy,Southampton,0.00,0.00,0.00,0.00
Luke Dreher,Crystal Palace,0.00,0.00,0.00,0.00
Hugo Lloris,Tottenham,0.00,0.00,0.00,0.00
Toby Alderweireld,Tottenham,0.99+0.99,0.49+0.49,0.03,0.02
Danny Rose,Tottenham,0.80+0.80,2.59-0.41,0.04,0.13
Mousa Dembélé,Tottenham,0.03+0.03,0.00,0.01,0.00
Michel Vorm,Tottenham,0.00,0.00,0.00,0.00
Ben Davies,Tottenham,0.57+0.57,2.25+2.25,0.03,0.11
Carlos Sánchez,West Ham,0.06+0.06,0.05+0.05,0.02,0.02
Idrissa Gueye,Everton,0.59+0.59,0.93-1.07,0.02,0.03
Leandro Bacuna,Cardiff,0.08+0.08,0.03+0.03,0.01,0.00
Cesc Fàbregas,Chelsea,0.06+0.06,0.22+0.22,0.03,0.12
Asmir Begovic,Bournemouth,0.00,0.00,0.00,0.00
Gary Cahill,Chelsea,0.00,0.00,0.00,0.00
Lukasz Fabianski,West Ham,0.00,0.08+0.08,0.00,0.00
Federico Fernández,Newcastle United,0.08+0.08,0.43-0.57,0.01,0.03
Ki Sung-yueng,Newcastle United,0.15+0.15,1.08+0.08,0.01,0.07
Jermain Defoe,Bournemouth,0.13+0.13,0.00,0.91,0.00
Jordan Pickford,Everton,0.00,0.04+0.04,0.00,0.00
Kasper Schmeichel,Leicester,0.08+0.08,0.29+0.29,0.00,0.01
Danny Simpson,Leicester,0.00,0.03+0.03,0.00,0.01
Christian Fuchs,Leicester,0.06+0.06,0.20+0.20,0.03,0.09
Shinji Okazaki,Leicester,0.28+0.28,0.11-0.89,0.10,0.04
Daniel Amartey,Leicester,0.47+0.47,0.11+0.11,0.07,0.02
Daryl Janmaat,Watford,0.47+0.47,0.58-1.42,0.03,0.03
Jamaal Lascelles,Newcastle United,0.40+0.40,1.20+0.20,0.01,0.04
Moussa Sissoko,Tottenham,0.96+0.96,2.79-0.21,0.04,0.11
Ben Chilwell,Leicester,0.97+0.97,3.07-0.93,0.03,0.09
John Ruddy,Wolverhampton Wanderers,0.00,0.00,0.00,0.00
Robbie Brady,Burnley,0.68+0.68,1.03+0.03,0.09,0.13
Ben Foster,Watford,0.02+0.02,0.21+0.21,0.00,0.01
Fraser Forster,Southampton,0.00,0.00,0.00,0.00
Maya Yoshida,Southampton,1.83+1.83,1.07+0.07,0.11,0.06
Paul Dummett,Newcastle United,0.28+0.28,0.35+0.35,0.01,0.02
Phil Bardsley,Burnley,0.25+0.25,1.29+1.29,0.01,0.07
Peter Crouch,Burnley,0.61+0.61,0.00,0.75,0.00
Fabian Delph,Manchester City,0.07+0.07,0.39-0.61,0.01,0.05
Samir Nasri,West Ham,0.13+0.13,0.55-1.45,0.05,0.20
Harry Arter,Cardiff,0.80+0.80,0.72-0.28,0.04,0.03
Steven Davis,Southampton,0.00,0.45-0.55,0.00,0.42
Kyle Walker-Peters,Tottenham,0.35+0.35,0.48-2.52,0.08,0.12
Carl Jenkinson,Arsenal,0.00,0.06+0.06,0.00,0.03
Phil Jones,Manchester United,0.55+0.55,0.82-0.18,0.04,0.06
Joe Bennett,Cardiff,0.52+0.52,0.80-0.20,0.02,0.03
Alex Oxlade-Chamberlain,Liverpool,0.47+0.47,0.12+0.12,2.47,0.61
Paulo Gazzaniga,Tottenham,0.00,0.00,0.00,0.00
Mason Holgate,Everton,0.00,0.00,0.00,0.00
Joseph Gomez,Liverpool,0.23+0.23,0.42+0.42,0.02,0.04
Tyrone Mings,Bournemouth,0.00,0.06+0.06,0.00,0.04
Jack Wilshere,West Ham,0.18+0.18,0.53-0.47,0.04,0.13
